time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-21T07:00,-7.7,0,21.9,72,0
2024-01-21T08:00,-7.7,0,20.9,72,1
2024-01-21T09:00,-7.1,0,19.3,71,0
2024-01-21T10:00,-6,0,19.3,68,0
2024-01-21T11:00,-4.7,0,19,62,0
2024-01-21T12:00,-3.3,0,25.5,57,3
2024-01-21T13:00,-2.3,0,22.4,55,0
2024-01-21T14:00,-1.6,0,17.7,54,0
2024-01-21T15:00,-1,0,16.6,53,0
2024-01-21T16:00,-0.7,0,15.4,53,0
2024-01-21T17:00,-0.9,0,12.1,56,0
2024-01-21T18:00,-2.6,0,10.2,63,0
2024-01-21T19:00,-4.4,0,10.6,73,0
2024-01-21T20:00,-5.2,0,11.6,77,0
2024-01-21T21:00,-5.3,0,12.1,79,0
2024-01-21T22:00,-5.6,0,13.9,79,0
2024-01-21T23:00,-5.9,0,14.3,79,0
2024-01-22T00:00,-6.4,0,13.7,81,0
2024-01-22T01:00,-6.9,0,12.7,82,0
2024-01-22T02:00,-7.4,0,11.5,84,0
2024-01-22T03:00,-7.9,0,9.7,84,0
2024-01-22T04:00,-8.7,0,6.9,84,0
2024-01-22T05:00,-9.7,0,6.6,85,0
2024-01-22T06:00,-9.7,0,7,85,0
2024-01-22T07:00,-10.7,0,8.2,86,0
2024-01-22T08:00,-9.3,0,6.7,83,0
2024-01-22T09:00,-9.6,0,6.3,84,0
2024-01-22T10:00,-7.2,0,1.1,75,0
2024-01-22T11:00,-4.3,0,2.3,71,0
2024-01-22T12:00,-1.9,0,4.3,60,1
2024-01-22T13:00,-0.2,0,7.5,53,1
2024-01-22T14:00,1.1,0,7.6,49,3
2024-01-22T15:00,2,0,7.3,48,2
2024-01-22T16:00,2.6,0,6.6,48,2
2024-01-22T17:00,1.4,0,7.6,60,3
2024-01-22T18:00,-1,0,11,59,1
2024-01-22T19:00,-2.9,0,12.3,63,3
2024-01-22T20:00,-2.9,0,10.5,66,1
2024-01-22T21:00,-2.2,0,8.4,65,1
2024-01-22T22:00,-4.4,0,10.6,72,0
2024-01-22T23:00,-3.2,0,8.2,73,0
2024-01-23T00:00,-2.7,0,8.9,74,1
2024-01-23T01:00,-2.8,0,7.9,73,2
2024-01-23T02:00,-2.9,0,8,72,2
2024-01-23T03:00,-2.8,0,7.9,71,0
2024-01-23T04:00,-4.4,0,11,75,1
2024-01-23T05:00,-4.9,0,10.3,76,0
2024-01-23T06:00,-4.6,0,8.6,74,3
2024-01-23T07:00,-5.6,0,8.7,79,3
